Date,Delta_Infected,Delta_Recovered,Delta_Fatalities
01.03.2020,0,0,0
02.03.2020,0,0,0
03.03.2020,0,0,0
04.03.2020,0,0,0
05.03.2020,0,0,0
06.03.2020,5,0,0
07.03.2020,0,0,0
08.03.2020,0,0,0
09.03.2020,3,0,0
10.03.2020,3,0,0
11.03.2020,6,0,0
12.03.2020,4,0,0
13.03.2020,5,0,0
14.03.2020,9,0,0
15.03.2020,0,0,0
16.03.2020,18,0,0
17.03.2020,2,0,0
18.03.2020,31,0,0
19.03.2020,12,0,0
20.03.2020,33,0,0
21.03.2020,6,0,0
22.03.2020,54,0,0
23.03.2020,71,0,0
24.03.2020,28,0,0
25.03.2020,120,0,0
26.03.2020,136,0,0
27.03.2020,157,0,0
28.03.2020,114,0,0
29.03.2020,197,0,0
30.03.2020,212,0,0
31.03.2020,387,0,0
01.04.2020,267,0,0
02.04.2020,595,0,0
03.04.2020,448,0,0
04.04.2020,434,0,0
05.04.2020,536,0,0
06.04.2020,591,0,0
07.04.2020,697,16,2
08.04.2020,660,48,0
09.04.2020,857,43,7
10.04.2020,1124,37,12
11.04.2020,1030,149,8
12.04.2020,1306,188,14
13.04.2020,1355,150,10
14.04.2020,1489,179,13
15.04.2020,1774,189,11
16.04.2020,1370,189,7
17.04.2020,1959,123,14
18.04.2020,2649,162,21
19.04.2020,3570,84,28
20.04.2020,2026,75,28
21.04.2020,3083,219,29
22.04.2020,2548,210,28
23.04.2020,1959,181,27
24.04.2020,2957,287,37
25.04.2020,2612,312,41
26.04.2020,2971,128,38
27.04.2020,2871,349,31
28.04.2020,3074,606,44
29.04.2020,2220,480,67
30.04.2020,3093,525,65
01.05.2020,3561,631,47
02.05.2020,5358,608,37
03.05.2020,5948,655,34
04.05.2020,5795,544,35
05.05.2020,5714,297,52
06.05.2020,5858,588,50
07.05.2020,6703,769,39
08.05.2020,5846,1032,51
09.05.2020,5667,2520,54
10.05.2020,5551,1011,58
11.05.2020,6169,4032,56
12.05.2020,5392,1820,55
13.05.2020,4703,1864,53
14.05.2020,4712,1821,58
15.05.2020,4748,1235,68
16.05.2020,3505,1470,74
17.05.2020,3855,1458,71
18.05.2020,3238,1423,77
19.05.2020,3545,2583,71
20.05.2020,2699,5440,75
21.05.2020,2913,3746,68
22.05.2020,2988,2900,73
23.05.2020,3190,3831,67
